14D.AX	1414 Degrees Limited
ALLKOP.AX	Aristocrat Leisure Limited
ALLKOQ.AX	Aristocrat Leisure Limited
ALLKOT.AX	Aristocrat Leisure Limited
ALLKOU.AX	Aristocrat Leisure Limited
ALM.AX	Australis Media Ltd broke
ALQ.AX	Als Limited
ALQKOD.AX	Als Limited
ALQKOE.AX	Als Limited
ALQKOF.AX	Als Limited
ALQKOP.AX	Als Limited
ALQKOQ.AX	Als Limited
ALQKOR.AX	Als Limited
ALQKOS.AX	Als Limited
ALR.AX	Aberdeen Leaders Ltd
ALROB.AX	ALROB
ALTB.AX	ALTB
ALV.AX	Alvo Minerals Limited
ALX.AX	Allstate Explorations NL
ALXKOA.AX	Atlas Arteria
ALXKOB.AX	Atlas Arteria
ALXKOQ.AX	Atlas Arteria
ALXKOR.AX	Atlas Arteria
ALXKOS.AX	Atlas Arteria
ALY.AX	Alchemy Resources Ltd
AM7.AX	Arcadia Minerals Limited
AMA.AX	Allomak Ltd
AMC.AX	Amcor Ltd
AMCKOA.AX	Amcor Limited
AMCKOC.AX	Amcor Limited
AMCKOG.AX	Amcor Plc
AMCKOP.AX	Amcor Limited
AMCKOS.AX	Amcor Limited
AMD.AX	Arrow Minerals Ltd
AME.AX	Austmet Resources Ltd
AMH.AX	AMCIL Ltd
AMI.AX	Aurelia Metals Limited
AML.AX	AMRAD Corporation Ltd
AMM.AX	Amcom Telecommunications Ltd
AMN.AX	Agrimin Limited
AMO.AX	Ambertech Ltd
AMP.AX	AMP Ltd
AMPKOA.AX	Amp Limited
AMPKOB.AX	Amp Limited
AMPKOC.AX	Amp Limited
AMPKOD.AX	Amp Limited
AMPKOG.AX	Amp Limited
AMPKOR.AX	Amp Limited
AMPKOS.AX	Amp Limited
AMPKOT.AX	Amp Limited
AMPKOV.AX	Amp Limited
AMPLOA.AX	Amp Limited
AMPPB.AX	Amp Limited
AMS.AX	Allied Mining & Processing Nl
AMSO.AX	AMSO
AMT.AX	Advanced Surgical Design & Manufacture Ltd
AMX.AX	Ampella Mining Ltd
AN1.AX	Anagenics Limited
AN3PH.AX	AN3PH
AN3PI.AX	AN3PI
AN3PJ.AX	AN3PJ
AN3PK.AX	AN3PK
AN3PL.AX	AN3PL
ANG.AX	Austin Engineering Ltd
ANL.AX	Anaconda Nickel Nl
ANN.AX	Ansell Ltd
ANNKOA.AX	Ansell Limited
ANNKOB.AX	Ansell Limited
ANNKOP.AX	Ansell Limited
ANO.AX	Advanced Nanotechnology Ltd
ANR.AX	Anatara Lifesciences Ltd
ANX.AX	Anadis Ltd
ANZ.AX	Australia & NZ Banking Group Ltd
ANZKOA.AX	Australia And New Zealand Banking Group Limited
ANZKOC.AX	Australia And New Zealand Banking Group Limited
ANZKOE.AX	Australia And New Zealand Banking Group Limited
ANZKOH.AX	Australia And New Zealand Banking Group Limited
ANZKOM.AX	Australia And New Zealand Banking Group Limited
ANZKOP.AX	Australia And New Zealand Banking Group Limited
ANZKOR.AX	Australia And New Zealand Banking Group Limited
ANZKOU.AX	Australia And New Zealand Banking Group Limited
ANZKOV.AX	Australia And New Zealand Banking Group Limited
ANZKOW.AX	Australia And New Zealand Banking Group Limited
ANZKOX.AX	Australia And New Zealand Banking Group Limited
ANZMOB.AX	Australia And New Zealand Banking Group Limited
ANZMOU.AX	ANZMOU
AO1.AX	Assetowl Limited
AOA.AX	
AOF.AX	AMP Office Trust
AOK.AX	Austex Oil Ltd
AON.AX	Apollo Minerals Ltd
AOV.AX	Amotiv Limited
AOVKOA.AX	AOVKOA
AOVKOC.AX	AOVKOC
APA.AX	Australian Pipeline Trust
APAKOA.AX	Apa Group
APAKOE.AX	APAKOE
APAKOQ.AX	Apa Group
APAKOR.AX	Apa Group
APC.AX	Australian Potash Limited
APCO.AX	APCO
APE.AX	AP Eagers Holdings Ltd
APL.AX	Australian Plantation Timber Ltd
APM.AX	Australian Institute of Prop Managmnt
APS.AX	Allup Silica Limited
APW.AX	Aims Property Securities Fund
APX.AX	Appen Limited
APZ.AX	Aspen Group
AQC.AX	Australian Pacific Coal Limited
AQD.AX	AusQuest Ltd
AQI.AX	Alicanto Minerals Limited
AQLT.AX	AQLT
AQN.AX	Aquirian Limited
AQX.AX	Alice Queen Limited
AQXOA.AX	AQXOA
AQXOC.AX	AQXOC
AQZ.AX	Alliance Aviation Services Limited
AR1.AX	Arrowhead Resources Limited
AR3.AX	Australian Rare Earths Limited
AR9.AX	Archtis Limited
ARA.AX	Ariadne Australia Ltd
ARB.AX	Arb Corporation Limited.
ARBKOA.AX	Arb Corporation Limited.
ARBKOB.AX	Arb Corporation Limited.
ARBKOE.AX	ARBKOE
ARBKOR.AX	ARBKOR
ARC.AX	Amalg Resources Nl
ARD.AX	Argent Minerials Lts
ARDO.AX	Argent Minerials Lts
ARF.AX	Arena Reit
ARG.AX	Argo Investments Ltd
ARI.AX	Arrium Limited
ARL.AX	Austrim
ARMR.AX	ARMR
ARN.AX	Arnotts Ltd t/over Campbell Soup Co
ARNO.AX	ARNO
ARR.AX	Arasor International Ltd
ART.AX	Amp Shopping Centre ord unit
ARU.AX	Arafura Resources NL
ARUOA.AX	ARUOA
ARV.AX	Artemis Resources Ltd
ARVOC.AX	ARVOC
ARX.AX	Austindo Resources Corporation NL
AS1.AX	Angel Seafood Holdings Ltd
AS2.AX	Askari Metals Limited
AS2O.AX	AS2O
ASAO.AX	ASAO
ASB.AX	Austal Ltd
ASE.AX	Astute Metals Nl
ASG.AX	Autosports Group Limited.
ASH.AX	Ashley Services Group Limited
ASIA.AX	Betashares Asia Technology Tigers
ASK.AX	Amskan
ASL.AX	Ausdrill Ltd
ASM.AX	Australian Strategic Materials Limited
ASMO.AX	ASMO
ASN.AX	Anson Resources Limited
ASO.AX	Australian Silicon Ltd
ASP.AX	Aspermont Ltd
ASQ.AX	Asset Loans Ltd
ASR.AX	Australian Rural Group Ltd
ASRO.AX	ASRO
ASV.AX	Argus Solutions Ltd
ASX.AX	Australian Stock Exchange Ltd
ASXKOB.AX	Asx Limited
ASXKOC.AX	Asx Limited
ASXKOD.AX	Asx Limited
ASXKOP.AX	Asx Limited
ASXKOQ.AX	Asx Limited
ASXKOR.AX	Asx Limited
AT1.AX	Atomo Diagnostics Limited
ATA.AX	Atc Alloys Ltd
ATC.AX	Advantage Telecommunications Ltd
ATCOC.AX	ATCOC
ATEC.AX	ATEC
ATG.AX	Austin Group Ltd
ATH.AX	Atech Holdings Ltd
ATHO.AX	ATHO
ATM.AX	Aneka Tambang (Persero) Tbk (Indo)
ATOM.AX	ATOM
ATP.AX	Atlas Pacific Ltd
ATR.AX	Astron Ltd
ATS.AX	Australis Oil & Gas Limited
ATU.AX	Atrum Coal Nl
ATV.AX	Atlantic Gold NL
ATVR.AX	ATVR
ATX.AX	Austminex Ltd
AU1.AX	Ausnet Financial Services Limited
AUA.AX	Australian Assets Corporation
AUB.AX	Austbrokers Holdings Ltd
AUC.AX	Ausgold Limited
AUE.AX	Aurum Resources Limited
AUEO.AX	AUEO
AUG.AX	Aurora Gold
AUH.AX	Australian Healthcare Technology Ltd
AUI.AX	Australian United Investment Ltd
AUK.AX	Augur Resources Ltd
AUKOA.AX	Aumake Limited.
AUMF.AX	Ishares Edge Msci Australia Multifactor Etf
AUN.AX	Austar United Communications Ltd
AUQ.AX	Alara Uranium Ltd
AUR.AX	Auris Minerals Limited
AUST.AX	Betashares Managed Risk Australian Share Fund (man
AUZ.AX	Australian Mines Ltd
AUZOA.AX	AUZOA
AUZOB.AX	AUZOB
AV1.AX	Adveritas Limited
AVA.AX	Aviva Corporation Ltd
AVC.AX	Australian Visual Communications
AVD.AX	Advance Energy Ltd
AVE.AX	Aevum Ltd
AVEOA.AX	AVEOA
AVG.AX	Australian Vintage Ltd t/over by SWS
AVH.AX	Avita Medical Ltd
AVJ.AX	AV Jennings Homes Ltd
AVL.AX	Anvil Mining Nl
AVM.AX	Anvil Mining Ltd (Canada CUFS)
AVMO.AX	AVMO
AVR.AX	Avatar Industries Ltd
AVW.AX	Avira Energy Limited
AVWOA.AX	Avira Resources Ltd
AW1.AX	American West Metals Limited
AWJ.AX	Auric Mining Limited
AX1.AX	Accent Group Limited
AX8.AX	Accelerate Resources Limited
AXE.AX	Archer Exploration Ltd
AXI.AX	Axiom Properties Ltd
AXL.AX	Aucxis
AXN.AX	Axon Instruments Inc
AXP.AX	Airxpanders Inc
AYA.AX	Attila Resources Limited
AYI.AX	A1 Investments & Resources Ltd
AYM.AX	Altius Mining Limited
AYT.AX	Adelaide Managed Funds Asset Trust
AYUHC.AX	Australian Unity Limited
AYUHD.AX	Australian Unity Limited
AYUHE.AX	AYUHE
AYUPA.AX	AYUPA
AZ9.AX	Asian Battery Metals Plc
AZ9O.AX	AZ9O
AZI.AX	Alta Zinc Limited
AZJ.AX	Aurizon Holdings Limited
AZJKOC.AX	Aurizon Holdings Limited
AZJKOD.AX	Aurizon Holdings Limited
AZJKOQ.AX	Aurizon Holdings Limited
AZJKOS.AX	Aurizon Holdings Limited
AZJKOT.AX	Aurizon Holdings Limited
AZL.AX	Anzoil Nl
AZLO.AX	AZLO
AZY.AX	Antipa Minerals Limited
B4P.AX	Beforepay Group Limited
BANK.AX	BANK
BAOR.AX	BAOR
BAP.AX	Burson Group Limited
BAPKOA.AX	Bapcor Limited
BAPKOB.AX	Bapcor Limited
BAPKOR.AX	Bapcor Limited
BAS.AX	Bass Strait Oil Company Ltd
BB1.AX	Blinklab Limited
BBAB.AX	BBAB
BBC.AX	Babcock & Brown Communities Group
BBL.AX	Brisbane Broncos Ltd
BBN.AX	Baby Bunting Group Limited
BBOZ.AX	Betashares Australian Equities Strong Bear Hedge F
BBT.AX	Bluebet Holdings Ltd
BC8.AX	Black Cat Syndicate Limited
BC8O.AX	BC8O
BCA.AX	Baycorp Advantage Ltd
BCB.AX	Bowen Coking Coal Limited
BCBR.AX	BCBR
BCC.AX	Buccaneer Energy Ltd
BCI.AX	BC Iron Ltd
BCK.AX	Brockman Mining Limited
BCM.AX	Babcock & Brown Capital Ltd
BCMO.AX	BCMO
BCMOA.AX	BCMOA
BCN.AX	Beacon Minerals Ltd
BCOM.AX	BCOM
BCT.AX	Bluechiip Limited
BDG.AX	Bendigo Mining Ltd
BDM.AX	Biodiem Ltd
BDT.AX	Birddog Technology Limited
BDX.AX	Bcal Diagnostics Limited
BEAR.AX	Betashares Australian Equities Bear Hedge Fund
BEL.AX	Bentley International Ltd
BEN.AX	Bendigo Bank Ltd
BENKOB.AX	Bendigo And Adelaide Bank Limited
BENKOC.AX	Bendigo And Adelaide Bank Limited
BENKOD.AX	Bendigo And Adelaide Bank Limited
BENKOQ.AX	Bendigo And Adelaide Bank Limited
BENKOT.AX	Bendigo And Adelaide Bank Limited
BENPH.AX	BENPH
BENPI.AX	BENPI
BEO.AX	Beonic Ltd
BET.AX	Belmont Holdings Ltd
BEZ.AX	Besra Gold Inc
BFC.AX	Beston Global Food Company Limited
BFG.AX	Bell Financial Group Ltd
BFL.AX	Bsp Financial Group Limited
BGA.AX	Bega Cheese Limited
BGBL.AX	BGBL
BGD.AX	Boulder Steel Ltd
BGE.AX	Bridge Saas Limited
BGL.AX	Bigair Group Ltd
BGLKOB.AX	BGLKOB
BGLKOD.AX	BGLKOD
BGLKOQ.AX	BGLKOQ
BGLKOR.AX	BGLKOR
BGP.AX	Briscoe Group Australasia Limited
BGT.AX	Bio-gene Technology Ltd
BHD.AX	Benjamin Hornigold Limited
BHP.AX	BHP Billiton Ltd
BHPKOB.AX	Bhp Billiton Limited
BHPKOC.AX	Bhp Billiton Limited
BHPKOD.AX	Bhp Billiton Limited
BHPKOF.AX	Bhp Billiton Limited
BHPKOG.AX	Bhp Billiton Limited
BHPKOH.AX	Bhp Billiton Limited
BHPKOO.AX	Bhp Billiton Limited
BHPKOP.AX	Bhp Billiton Limited
BHPKOQ.AX	Bhp Billiton Limited
BHPKOR.AX	Bhp Billiton Limited
BHPKOT.AX	Bhp Billiton Limited
BHPKOU.AX	Bhp Billiton Limited
BHPKOW.AX	Bhp Billiton Limited
BHPKOY.AX	Bhp Billiton Limited
BHPMOP.AX	Bhp Billiton Limited
BHPMOR.AX	Bhp Billiton Limited
BHYB.AX	BHYB
BILL.AX	Ishares Core Cash
BIM.AX	Bindi Metals Limited
BIO.AX	Biome Australia Limited
BIS.AX	
BIT.AX	Biotron Ltd
BITOC.AX	BITOC
BKI.AX	Brickworks Investment Company Ltd
BKT.AX	Black Rock Mining Limited
BKW.AX	Brickworks Ltd
BKWKOB.AX	Brickworks Limited
BKWKOD.AX	BKWKOD
BKY.AX	Berkeley Resources Ltd
BLG.AX	Blugass Ltd
BLGO.AX	Bluglass Limited
BLU.AX	Bluefreeway Ltd
BLX.AX	Beacon Lighting Group Limited
BLZ.AX	Blaze International Ltd
BLZO.AX	BLZO
BM8.AX	Battery Age Minerals Ltd
BMG.AX	Brazilian Metals Group Limited.
BMH.AX	Baumart Holdings Limited
BML.AX	Bank of Melbourne merger WBC
BMM.AX	Bellamel Mining Ltd
BMN.AX	Bannerman Resources Ltd
BMO.AX	BMA Gold Ltd
BMOOA.AX	BMOOA
BMR.AX	Balmoral Corporation
BMT.AX	Berkut Minerals Limited
BNL.AX	Balkans Gold Ltd
BNR.AX	Bulletin Resources Limited
BNROA.AX	BNROA
BNZ.AX	Benz Mining Corp.
BOA.AX	Boadicea Resources Limited
BOAO.AX	Boadicea Resources Limited
BOC.AX	Bougainville Copper Ltd (PNG)
BOD.AX	bioMD Ltd
BOE.AX	Boss Energy Ltd
BOEKOD.AX	BOEKOD
BOL.AX	Boom Logistics Ltd
BOQ.AX	Bank of Queensland Ltd
BOQKOA.AX	Bank Of Queensland Limited.
BOQKOD.AX	Bank Of Queensland Limited.
BOQKOE.AX	Bank Of Queensland Limited.
BOQKOF.AX	Bank Of Queensland Limited.
BOQKOP.AX	Bank Of Queensland Limited.
BOQKOR.AX	Bank Of Queensland Limited.
BOQKOS.AX	Bank Of Queensland Limited.
BOQPF.AX	BOQPF
BOQPG.AX	BOQPG
BOT.AX	Botanix Pharmaceuticals Ltd
BP8.AX	Bph Global Ltd
BPH.AX	BioPharmica Ltd
BPM.AX	Bpm Minerals Limited
BPMO.AX	BPMO
BPP.AX	Babylon Pump & Power Limited
BPT.AX	Beach Petroleum Ltd
BPTKOA.AX	Beach Energy Limited
BPTKOD.AX	Beach Energy Limited
BPTKOP.AX	Beach Energy Limited
BPTKOR.AX	Beach Energy Limited
BRE.AX	Breathe Group
BRG.AX	Breville Group Ltd
BRGKOA.AX	Breville Group Limited
BRGKOB.AX	Breville Group Limited
BRI.AX	Breakwater Island Trust
BRK.AX	BreakFree Ltd
BRL.AX	Brl Hardy
BRN.AX	Brainchip Holdings Ltd
BRU.AX	Buru Energy Ltd
BRX.AX	Belararox Limited
BRXOA.AX	BRXOA
BSA.AX	Broadcast Services Australia Ltd
BSAO.AX	Bsa Limited
BSE.AX	BSE
BSL.AX	BlueScope Steel Ltd
BSLKOB.AX	Bluescope Steel Limited
BSLKOC.AX	Bluescope Steel Limited
BSLKOE.AX	Bluescope Steel Limited
BSLKOP.AX	Bluescope Steel Limited
BSLKOT.AX	Bluescope Steel Limited
BSLKOU.AX	Bluescope Steel Limited
BSN.AX	Bisan Ltd
BSUB.AX	BSUB
BSX.AX	Blackstone Minerals Limited
BTC.AX	BioTech Capital Ltd
BTE.AX	BT Australian Equity Management
BTH.AX	Bigtincan Holdings Limited
BTI.AX	Bailador Technology Investments Limited
BTN.AX	Brighton Mining Group Limited
BTR.AX	Blackthorn Resources Ltd
BUB.AX	Bubs Australia Limited
BUGG.AX	BUGG
BUR.AX	Burleson Energy Ltd
BUS.AX	Bubalus Resources Limited
BUX.AX	Buxton Resources Ltd
BUXO.AX	Buxton Resources Limited
BUY.AX	Bounty Oil & Gas NL
BVR.AX	Bellavista Resources Ltd
BVS.AX	Bravura Solutions Limited.
BWF.AX	Blackwall Property Funds Limited
BWN.AX	Bowen Energy Ltd
BWP.AX	Bunnings Warehouse Property Trust
BXB.AX	Brambles Ltd
BXBKOA.AX	Brambles Limited
BXBKOB.AX	Brambles Limited
BXBKOD.AX	Brambles Limited
BXN.AX	Bioxyne Limited
BYH.AX	Bryah Resources Limited
BYHO.AX	Bryah Resources Limited
C1X.AX	Cosmos Exploration Limited
C29.AX	C29 Metals Limited
C2FHA.AX	C2FHA
C79.AX	Chrysos Corporation Limited
C7A.AX	Clara Resources Australia Ltd
CAA.AX	Capral Aluminium Ltd
CAE.AX	Cannindah Resources Limited
CAF.AX	Centrepoint Alliance Ltd
CAG.AX	Cape Range Wireless Ltd
CAI.AX	Casinos Austria International
CAIO.AX	Calidus Resources Limited
CAJ.AX	Capitol Health Ltd
CAM.AX	Clime Capital Ltd
CAMG.AX	Clime Capital Limited
CAN.AX	Cann Group Limited
CAQ.AX	Cell Aquaculture Ltd
CAR.AX	Carsales.com Limited.
CARKOA.AX	Carsales.com Limited.
CARKOB.AX	Carsales.com Limited.
CARKOF.AX	Carsales.com Limited.
CAT.AX	Catuity Inc (USA)
CAV.AX	Carnavale Resources Ltd
CAY.AX	Canyon Resources Ltd
CAZ.AX	Cazaly Resources Ltd
CBA.AX	Commonwealth Bank Ltd
CBAKOC.AX	Commonwealth Bank Of Australia.
CBAKOD.AX	Commonwealth Bank Of Australia.
CBAKOG.AX	Commonwealth Bank Of Australia.
CBAKOH.AX	Commonwealth Bank Of Australia.
CBAKOI.AX	Commonwealth Bank Of Australia.
CBAKOQ.AX	Commonwealth Bank Of Australia.
CBAKOS.AX	Commonwealth Bank Of Australia.
CBAKOY.AX	Commonwealth Bank Of Australia.
CBAMOA.AX	Commonwealth Bank Of Australia.
CBAMOB.AX	Commonwealth Bank Of Australia.
CBAPG.AX	Commonwealth Bank Of Australia.
CBAPI.AX	Commonwealth Bank Of Australia.
CBAPJ.AX	CBAPJ
CBAPK.AX	CBAPK
CBAPL.AX	CBAPL
CBAPM.AX	CBAPM
CBE.AX	Cobre Limited
CBH.AX	CBH Resources Ltd
CBHO.AX	CBHO
CBHOA.AX	CBHOA
CBL.AX	Cbl Corporation Limited
CBO.AX	Cobra Resources Nl
CBY.AX	Canterbury Resources Limited
CC9.AX	Chariot Corporation Ltd
CCA.AX	Chimpchange Limited
CCE.AX	Clinical Cell Culture Ltd
CCG.AX	Commschoice Group Limited
CCM.AX	Cadoux Limited
CCO.AX	CircleCom Ltd
CCOOA.AX	CCOOA
CCP.AX	Credit Corp Group Ltd
CCPKOA.AX	Credit Corp Group Limited
CCPKOB.AX	Credit Corp Group Limited
CCPKOC.AX	Credit Corp Group Limited
CCPKOD.AX	Credit Corp Group Limited
CCR.AX	Credit Clear Limited
CCV.AX	Cash Converters International Ltd
CCX.AX	City Chic Collective Limited
CCZ.AX	Castillo Copper Limited
CD1.AX	Cordish Dixon Private Equity Fund I
CD2.AX	Cordish Dixon Private Equity Fund Ii
CD3.AX	Cordish Dixon Private Equity Fund Iii
CDA.AX	Codan Ltd
CDD.AX	Cardno Ltd
CDE.AX	Codeifai Limited
CDM.AX	Cadence Capital Ltd
CDO.AX	Colorado Group Ltd
CDP.AX	Carindale Property Trust
CDR.AX	Commander Communications Ltd
CDT.AX	Castle Minerals Ltd
CDTOA.AX	CDTOA
CDTOB.AX	CDTOB
CDX.AX	CDS Technologies Ltd
CDXOA.AX	CDXOA
CE1.AX	Calima Energy Limited
CEH.AX	China Education Ltd
CEL.AX	CEL
CEN.AX	Central Australian Phosphate Limited
CETF.AX	Vaneck Vectors Chinaamc A-share?
CF1.AX	Complii Fintech Solutions Ltd
CFLO.AX	CFLO
CG1.AX	Carbonxt Group Limited
CGF.AX	Challenger Financial Services Group
CGFKOB.AX	Challenger Limited
CGFKOC.AX	Challenger Limited
CGFKOD.AX	Challenger Limited
CGFKOE.AX	Challenger Limited
CGFKOP.AX	Challenger Limited
CGFKOR.AX	Challenger Limited
CGFKOS.AX	Challenger Limited
CGFPC.AX	CGFPC
CGFPD.AX	CGFPD
CGO.AX	CPT Global Ltd
CGR.AX	Careers Multilist Limited
CGS.AX	Cogstate Ltd
CGUN.AX	CGUN
CHC.AX	Charter Hall Group
CHCKOA.AX	Charter Hall Group
CHCKOC.AX	Charter Hall Group
CHCKOD.AX	Charter Hall Group
CHCKOQ.AX	Charter Hall Group
CHCKOS.AX	CHCKOS
CHCKOT.AX	Charter Hall Group
CHL.AX	CCI Holdings Ltd
CHM.AX	Chameleon Mining NL
CHN.AX	Chalice Gold Mines Ltd
CHNKOA.AX	CHNKOA
CHNKOP.AX	CHNKOP
CHR.AX	Chalmers Ltd
CHW.AX	Chilwa Minerals Ltd
CI1.AX	Credit Intelligence Ltd
CIA.AX	Champion Iron Limited
CIAKOA.AX	CIAKOA
CIAKOB.AX	CIAKOB
CIAKOC.AX	CIAKOC
CIAKOP.AX	CIAKOP
CIAKOQ.AX	CIAKOQ
CIAKOR.AX	CIAKOR
CIN.AX	Carlton Investments Ltd
CINPA.AX	Carlton Investments PA
CIP.AX	Centuria Industrial Reit
CIW.AX	Clime Investment Management Ltd
CKA.AX	Cokal Limited
CKF.AX	Collins Foods Limited
CKFKOA.AX	Collins Foods Limited
CKFKOB.AX	CKFKOB
CL8.AX	Collaborate Corporation Limited
CL8O.AX	Collaborate Corporation Limited
CLA.AX	Celsius Coal Limited
CLE.AX	Clearwater Group Ltd
CLG.AX	Close The Loop Ltd.
